1,HT-1000,1, Notebooks are running slow
2,HT-1001,2, Notebooks are running slow
3,HT-1002,3, Notebooks are running slow
4,HT-1003,4, Notebooks are running slow
5,HT-1007,3, Notebooks are running slow
6,HT-1010,4,Handhelds battery life is too short
7,HT-1011,2, Notebooks are running slow
8,HT-1020,3, Notebooks are running slow
9,HT-1021,1,Handhelds battery life is too short
10,HT-1022,3,Handhelds battery life is too short
11,HT-1023,2,Handhelds battery life is too short
12,HT-1030,4,Handhelds battery life is too short
13,HT-1031,5,Flat screens have low screen aspect ratio
14,HT-1032,2,Flat screens have low screen aspect ratio
15,HT-1035,1,Flat screens have low screen aspect ratio
16,HT-1036,3,Flat screens have low screen aspect ratio
17,HT-1037,4,Flat screens have low screen aspect ratio
18,HT-1040,2,Flat screens have low screen aspect ratio
19,HT-1041,3,Laser printers toner life is too short
20,HT-1042,2,Laser printers toner life is too short
21,HT-1050,4,Laser printers toner life is too short
22,HT-1051,1,Ink jet printers
23,HT-1052,3,Ink jet printers
24,HT-1055,4,Ink jet printers
25,HT-1056,2,Multi function printers
26,HT-1060,3,Multi function printers
27,HT-1061,1,Mice
28,HT-1062,3,Mice
29,HT-1063,2,Mice
30,HT-1064,3,Keyboards
31,HT-1065,2,Keyboards
32,HT-1066,4,Keyboards
33,HT-1067,2,High Tech
34,HT-1068,3,High Tech
35,HT-1069,4,High Tech
36,HT-1070,2,Flat screens have low screen aspect ratio
37,HT-1071,4,Graphic cards
38,HT-1072,2,Graphic cards
39,HT-1073,3,Graphic cards
40,HT-1080,2,Graphic cards
41,HT-1081,3,Scanner
42,HT-1082,4,Scanner
43,HT-1083,2,Scanner
44,HT-1085,1,Scanner
45,HT-1090,3,Scanner and Printer
46,HT-1091,2,Speakers
47,HT-1092,3,Speakers
48,HT-1100,4,Speakers
49,HT-1101,1,Software
50,HT-1102,3,Software
51,HT-1103,2,Software
52,HT-1104,3,Software
53,HT-1105,1,Software
54,HT-1106,4,Software
55,HT-1107,2,Software
56,HT-1110,3,Software
57,HT-1111,2,Others
58,HT-1112,3,Others
59,HT-1113,2,Others
60,HT-1114,3,Others
61,HT-1115,2,Others
62,HT-1116,3,Hardware
63,HT-1117,2,Others
64,HT-1118,3,Others
65,HT-1120,2,Others
66,HT-1137,3,Input device
67,HT-1138,1,Flat screens have low screen aspect ratio
68,HT-1210,3,Flat screens have low screen aspect ratio
69,HT-1500,2,PC
70,HT-1501,4,Workstation ensemble
71,HT-1502,2,Workstation ensemble
72,HT-6130,3,Workstation ensemble
73,HT-6131,4,Flat-screen television
74,HT-6132,1,Flat-screen television
75,HT-7030,2,Flat-screen television
76,HT-7020,4,Handheld
77,HT-7010,3,Handheld
78,HT-7000,4,Handheld
79,HT-1095,2,Handheld
80,HT-1096,1,Headset
81,HT-1097,3,Headset
82,HT-6123,2,Headset
83,HT-6122,4,MP3-Player
84,HT-6121,4,MP3-Player
85,HT-6120,3,MP3-Player
86,HT-6111,3,MP3-Player
87,HT-6110,2,Electronics
88,HT-6102,3,Electronics
89,HT-6101,2,Beamer
90,HT-2002,4,Beamer
91,HT-6100,2,Electronics
92,HT-2027,1,Beamer
93,HT-2026,1,Others
94,HT-2025,1,Others
95,HT-2001,2,Others
96,HT-2000,3,Electronics
97,HT-1603,2,Electronics
98,HT-1602,4,PC
99,HT-1601,3,PC
100,HT-1600,2,PC
101,HT-1119,3,PC
102,HT-8000,2,Others
103,HT-8001,3, Notebooks are running slow
104,HT-8002,4, Notebooks are running slow
105,HT-8003,4, Notebooks are running slow
106,AD-1000,2, Notebooks are running slow
107,HT-6101,1,Others
